Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
2136,51019,Danielle Crona,Mr,Male,1,Single,173,2021-09-06,1/1/2022,Inactive,1/1/2022,\N,\N,Staff,Contarct Basis,Buddhist,Trainee Safety Officer,1995
2137,1795104,Prof Shanel Hilpert III,Mr,Male,1,Single,31,2021-09-14,5/9/2022,Inactive,5/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1977
2138,1795105,Monroe Tremblay DDS,Mr,Male,1,Married,31,2021-09-14,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1974
2140,198128,Hubert Schneider,Mr,Male,1,Married,41,2021-09-01,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Electrician,1968
2142,198130,Brenda Denesik,Mr,Male,1,Single,41,2021-09-13,4/8/2022,Inactive,4/8/2022,\N,\N,Labour,Contarct Basis,Buddhist,Electrician,1979
2146,199078,Adolf White,Mr,Male,3,Single,31,2021-09-15,0000-00-00,Active,0000-00-00,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1996
2147,1795109,Avis Oberbrunner,Mr,Male,1,Married,1,2021-09-16,4/1/2022,Inactive,4/1/2022,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1969
2148,1795110,Prof Eric Lowe,Mr,Male,4,Married,1,2021-09-16,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Catholic,Skilled Labor,1969
2150,1795112,Prof Coralie Reichel DVM,Mr,Male,3,Married,31,2021-09-17,3/30/2022,Inactive,3/30/2022,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1988
2153,1795115,Melvina Rowe,Mr,Male,1,Married,31,2021-09-21,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1987
2158,198131,Talia Bergstrom,Mr,Male,1,Married,30,2021-09-08,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1970
2159,193180,Aracely Wisozk,Mr,Male,1,Married,43,2021-09-15,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Operator - JCB,1994
2160,1795116,Dr Orland Ryan,Mr,Male,1,Single,31,2021-09-16,5/19/2022,Inactive,5/19/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1995
2161,5343,Rene Mitchell,Mr,Male,1,Single,7,2021-09-10,12/18/2022,Inactive,12/18/2022,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,2000
2162,5344,Maida Barton DVM,Mr,Male,1,Single,158,2021-09-13,1/31/2022,Inactive,1/31/2022,\N,\N,Staff,Contarct Basis,Buddhist,Assistant QS,1995
2163,5345,Brigitte Halvorson,Ms,Female,1,Married,17,2021-09-21,2/6/2022,Inactive,2/6/2022,\N,\N,Staff,Contarct Basis,Buddhist,Account Executive,1989
2165,5347,Mrs Tamia Nolan III,Mr,Male,1,Single,158,2021-09-27,1/6/2022,Inactive,1/6/2022,\N,\N,Staff,Contarct Basis,Buddhist,Assistant QS,1996
2166,196149,Dallin Macejkovic,Mr,Male,1,Single,195,2021-09-27,0000-00-00,Active,0000-00-00,\N,\N,Labour,Contarct Basis,Buddhist,Data Coordinator,1999
2168,203006,Candace Ankunding PhD,Mr,Male,1,Married,129,2021-09-13,0000-00-00,Active,0000-00-00,\N,\N,Labour,Contarct Basis,Buddhist,Stores Helper,1966
